review_id,college_id,college_name,review_text,date,source,rating,sentiment_score,word_count,mess_score,professor_score,campus_score,placements_score,infrastructure_score,overall_aspect_score
R0001,1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,"My experience at ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE has been mixed, but insightful, reflecting its rank.
Many professors are active in research, bringing innovative ideas into the classroom.
The campus wide AC system is efficient AC and works well during summer.
The entire campus is surprisingly clean and feels extremely safe.
Visitors are required to register their details at the main entrance.
The computer lab has a great sound system for multimedia classes.",2025-08-21,Shiksha,3,0.98,45,5.0,5.0,10.0,5.0,5.0,6.0
R0002,2,"Abacus Institute of Engineering & Management, Mogra, Hooghly","My experience at Abacus Institute of Engineering & Management, Mogra, Hooghly has been mixed, but insightful, reflecting its rank.
Experienced faculty always share relevant industry insights.
There are always healthy options available for fitness enthusiasts.
The placement team ensures clear communication throughout the hiring cycle.
I look forward to the best meals served during festival times.
The roads and pathways are organized and easy to navigate.
Our highest salary package has seen a significant jump this year.",2024-07-20,Google Reviews,3,0.99,51,5.0,8.0,5.0,5.0,5.0,5.6
R0003,3,"Academy of Technology, Adisaptagram, Hooghly","My experience at Academy of Technology, Adisaptagram, Hooghly has been mixed, but insightful, reflecting its rank.
Placement records are maintained digitally by the central office.
We appreciate the hygienic environment and the delicious weekly menu.
Student traffic causes severe congestion and loud noise during breaks.
The dining area is always spotless and clean dining area.
The staff working in the mess is always friendly staff and accommodating.",2024-10-13,Shiksha,4,0.9,43,10.0,7.0,9.0,5.0,5.0,7.2
R0004,4,"Adamas University, Barasat","My experience at Adamas University, Barasat has been mixed, but insightful, reflecting its rank.
The hostel rooms are modern hostel rooms with good amenities.
I experienced negligence from a particular mentor regarding project guidance.
The entire campus is surprisingly clean and feels extremely safe.
The general upkeep of the facilities is commendable.
The mess hall is closed on all public holidays for maintenance.",2025-05-18,CollegeDunia,4,0.94,39,5.0,8.0,10.0,5.0,5.0,6.6
R0005,5,"Aliah University, New Town","My experience at Aliah University, New Town has been mixed, but insightful, reflecting its rank.
The security team is friendly and highly vigilant, making me feel safe.
Student traffic causes severe congestion and loud noise during breaks.
Their communication style is clear and highly effective.
They use fresh ingredients, which greatly improves the taste.
The main library closes its doors at 9 PM every evening.
The grounds are well-maintained, creating a calm atmosphere for study.",2024-11-30,Shiksha,3,0.99,48,5.0,7.0,9.0,5.0,5.0,6.2
R0006,6,"Asansol Engineering College, Asansol, Burdwan","My experience at Asansol Engineering College, Asansol, Burdwan has been mixed, but insightful, reflecting its rank.
Compared to other colleges, the food quality is good food and relatively cheap.
Our alumni network is very successful alumni and actively assists in placements.
The excellent presentation of the food is a pleasant surprise.
The campus environment is truly beautiful and feels very spacious.
The college publishes accurate and transparent data on salaries.",2024-12-23,Shiksha,4,0.99,42,8.5,5.0,10.0,5.0,5.0,6.7
R0007,7,"B.P. Poddar Institute of Management & Technology, Kolkata","My experience at B.P. Poddar Institute of Management & Technology, Kolkata has been mixed, but insightful, reflecting its rank.
The drainage system seems good drainage, even during heavy monsoon season.
The mess staff provides good service with quick serving times.
We appreciate the fair grading and consistent high standards.
The main library closes its doors at 9 PM every evening.",2025-07-27,Google Reviews,3,0.9,39,5.0,5.0,5.0,5.0,5.0,5.0
R0008,8,"Bankura Unnayani Institute of Engineering, Bankura","My experience at Bankura Unnayani Institute of Engineering, Bankura has been mixed, but insightful, reflecting its rank.
The building maintenance team is quick and responsive to issues.
Students receive unparalleled industry exposure through internships.
The laboratories are spacious and equipped with high-tech equipment.
Experienced faculty always share relevant industry insights.
Class scheduling is handled centrally by the administration.",2025-02-17,CollegeDunia,3,0.72,39,5.0,8.0,7.0,5.0,5.0,6.0
R0009,9,"Bengal College of Engineering & Technology, Durgapur","My experience at Bengal College of Engineering & Technology, Durgapur has been mixed, but insightful, reflecting its rank.
The campus environment is truly beautiful and feels very spacious.
We received excellent teaching from supportive staff throughout the course.
Compared to other colleges, the food quality is good food and relatively cheap.
The dessert options are great desserts and well-received by students.
The mock interviews and assessment tests are extremely beneficial.",2024-09-17,Google Reviews,4,0.98,43,8.5,10.0,10.0,5.0,5.0,7.7
R0010,10,"Bengal Institute of Technology, Dhapa, Kolkata","My experience at Bengal Institute of Technology, Dhapa, Kolkata has been mixed, but insightful, reflecting its rank.
The campus is incredibly messy with litter visible near walkways.
The grounds are well-maintained, creating a calm atmosphere for study.
The quality of the tea and coffee served is remarkably good.
The mock interviews and assessment tests are extremely beneficial.
They are excellent soup recipes offered every week.",2024-07-17,StudentForum,3,0.91,41,5.0,5.0,3.0,5.0,5.0,4.6
R0011,11,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia","My experience at Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia has been mixed, but insightful, reflecting its rank.
The placement team ensures clear communication throughout the hiring cycle.
Some faculty are unhelpful and seem to have low expectation for student output.
Mock interviews are regularly conducted by alumni volunteers.
Final year students are provided with intensive career counseling.",2024-12-23,Quora,3,-0.45,40,5.0,4.0,5.0,5.0,5.0,4.8
R0012,12,"Budge Budge Institute of Technology, Budge-Budge","My experience at Budge Budge Institute of Technology, Budge-Budge has been mixed, but insightful, reflecting its rank.
There is a small, functional post office located near the gate.
All classrooms have projectors installed for teaching purposes.
Office hours are posted clearly on the department notice board.
The landscaping is eco-friendly, featuring beautiful natural elements.",2024-04-28,Google Reviews,3,0.92,35,5.0,6.0,7.0,5.0,5.0,5.6
R0013,13,"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata","My experience at Calcutta Institute of Engineering & Management, Tollygunge, Kolkata has been mixed, but insightful, reflecting its rank.
There is zero core placements for specialized engineering branches.
Experienced faculty always share relevant industry insights.
I feel the mess offers exceptional value for money.
The civil engineering department has its own separate material testing lab.
There are always healthy options available for fitness enthusiasts.
My professors were consistently helpful and responsive to all queries.",2025-09-22,StudentForum,3,0.96,48,5.0,10.0,5.0,5.0,5.0,6.0
R0014,14,"Calcutta Institute of Technology, Uluberia, Howrah","My experience at Calcutta Institute of Technology, Uluberia, Howrah has been mixed, but insightful, reflecting its rank.
The computer lab has a great sound system for multimedia classes.
We have plenty of common areas with charging points and fast wifi.
The cell has tie-ups with 50+ companies annually.
The department maintains a standard ratio of professors to students.
Final year students are provided with intensive career counseling.
The staff working in the mess is always friendly staff and accommodating.",2025-07-25,Google Reviews,3,0.83,48,5.0,7.0,5.0,5.0,6.5,5.7
R0015,15,"Camellia Institute of Technology & Management, Bainchi, Hooghly","My experience at Camellia Institute of Technology & Management, Bainchi, Hooghly has been mixed, but insightful, reflecting its rank.
The placement process feels unethical due to lack of transparency.
The security systems are updated and feature modern surveillance.
We received excellent teaching from supportive staff throughout the course.
I found their methods for explaining complex topics highly effective.
The campus wide AC system is efficient AC and works well during summer.
The security team is friendly and highly vigilant, making me feel safe.",2025-04-06,Quora,4,0.98,53,5.0,10.0,10.0,5.0,9.0,7.8
R0016,16,"Camellia Institute of Technology, Badu Road, Madhyamgram","My experience at Camellia Institute of Technology, Badu Road, Madhyamgram has been mixed, but insightful, reflecting its rank.
The weekend special meals often have a lovely homemade feel.
A small clinic is available on the campus premises during weekdays.
Many great opportunities are provided by good companies visiting the campus.
The security systems are updated and feature modern surveillance.",2024-08-10,Quora,4,0.98,38,5.0,5.0,5.0,9.5,9.0,6.7
R0017,17,"Camellia School of Engineering & Technology, Barasat","My experience at Camellia School of Engineering & Technology, Barasat has been mixed, but insightful, reflecting its rank.
Many instructors are disengaged and lack any real passion for teaching.
The mess food is surprisingly tasty and boasts a wide variety of meals.
All classrooms are now digital classrooms with smart boards.
The college has invested in new buildings, improving overall aesthetics.
The infrastructure looks fine but is poorly maintained overall.
There are always healthy options available for fitness enthusiasts.",2025-07-24,Google Reviews,3,0.96,49,10.0,5.0,5.0,2.5,7.0,5.9
R0018,18,"College of Engineering and Management, Kolaghat","My experience at College of Engineering and Management, Kolaghat has been mixed, but insightful, reflecting its rank.
They are excellent at negotiating with good companies for better roles.
The highest package offered last year was 18 LPA.
Truly dedicated professionals who go the extra mile for students.
They are excellent soup recipes offered every week.
The ROI is poor ROI given the high tuition fees charged.",2025-05-10,StudentForum,2,0.97,41,5.0,5.0,5.0,2.0,5.0,4.4
R0019,19,"Cooch Behar Government Engineering College, Cooch Behar","My experience at Cooch Behar Government Engineering College, Cooch Behar has been mixed, but insightful, reflecting its rank.
They focus equally on core jobs as well as IT roles.
The weekend special meals often have a lovely homemade feel.
We enjoy modern facilities and a vast, green open area for activities.
It is a truly well-maintained environment with state-of-the-art facilities.
Many new faculty members lack depth in their subject matter.",2025-07-29,Shiksha,3,0.96,46,5.0,5.0,10.0,5.0,5.0,6.0
R0020,20,"Dr. B. C. Roy Engineering College, Durgapur","My experience at Dr. B. C. Roy Engineering College, Durgapur has been mixed, but insightful, reflecting its rank.
There is zero core placements for specialized engineering branches.
The drainage system seems good drainage, even during heavy monsoon season.
We receive no guidance on off-campus opportunities.
Our highest salary package has seen a significant jump this year.",2025-05-02,CollegeDunia,3,0.77,35,5.0,5.0,5.0,5.0,5.0,5.0
R0021,21,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum","My experience at Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum has been mixed, but insightful, reflecting its rank.
The washrooms are always clean washrooms and well-maintained.
The computer lab has a great sound system for multimedia classes.
The security systems are updated and feature modern surveillance.
The career guidance provided by the cell is excellent training.
The campus suffers from an unreliable network connection.
Special thanks to the supportive team for personalized guidance.",2025-09-07,Shiksha,4,0.98,49,5.0,8.0,10.0,5.0,9.0,7.4
R0022,22,"Dream Institute of Technology, Bishnupur, 24-Parganas-South","My experience at Dream Institute of Technology, Bishnupur, 24-Parganas-South has been mixed, but insightful, reflecting its rank.
There is zero core placements for specialized engineering branches.
The teaching methods are often boring lectures and rely heavily on old presentations.
We benefit from modern labs and a great library facility.
The security team is friendly and highly vigilant, making me feel safe.
The daily menu provides a balanced diet of proteins and vegetables.",2025-09-20,CollegeDunia,4,0.97,46,5.0,7.0,8.0,5.0,7.5,6.5
R0023,23,"Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad","My experience at Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad has been mixed, but insightful, reflecting its rank.
Visitors are required to register their details at the main entrance.
The placement staff is professional staff and handles logistics smoothly.
I particularly enjoy the dedicated space for student clubs and activities.
The drainage system seems good drainage, even during heavy monsoon season.
The ROI is poor ROI given the high tuition fees charged.
Placements are poor, and less package offers are the norm for most branches.",2025-02-12,Shiksha,2,0.54,55,5.0,5.0,5.0,1.0,5.0,4.2
R0024,24,"Durgapur Institute of Advanced Technology & Management, Durgapur","My experience at Durgapur Institute of Advanced Technology & Management, Durgapur has been mixed, but insightful, reflecting its rank.
The mess staff provides good service with quick serving times.
The level of required depth in assignments is often vague and confusing.
The security systems are updated and feature modern surveillance.
We appreciate the reliable power backup system throughout the campus.
A large number of students receive many offers before graduation.
The career guidance provided by the cell is excellent training.",2025-04-14,Shiksha,3,0.91,52,5.0,5.0,8.0,5.0,9.0,6.4
R0025,25,"Elitte College of Engineering,Mahispota, Sodepur","My experience at Elitte College of Engineering,Mahispota, Sodepur has been mixed, but insightful, reflecting its rank.
The placement team ensures clear communication throughout the hiring cycle.
Placements are poor, and less package offers are the norm for most branches.
The kitchen staff seems disorganized and overwhelmed.
The college suffers from inadequate security and bad lighting after dark.
They are excellent soup recipes offered every week.
The placement office is located on the third floor of the main block.",2025-08-13,StudentForum,2,-0.91,49,5.0,5.0,5.0,1.0,5.0,4.2
R0026,26,"FACULTY OF TECHNOLOGY, UTTAR BANGA KRISHI VISWAVIDYALAYA","My experience at FACULTY OF TECHNOLOGY, UTTAR BANGA KRISHI VISWAVIDYALAYA has been mixed, but insightful, reflecting its rank.
The central auditorium has a large capacity for college events.
The impressive architecture makes the campus stand out.
Truly dedicated professionals who go the extra mile for students.
The sheer variety of meals ensures that the food is never monotonous.",2024-11-05,Google Reviews,3,0.92,35,6.0,5.0,5.0,5.0,5.0,5.2
R0027,27,"Future Institute of Engineering & Management, Sonarpur","My experience at Future Institute of Engineering & Management, Sonarpur has been mixed, but insightful, reflecting its rank.
Final year students are provided with intensive career counseling.
The security systems are updated and feature modern surveillance.
All documentation must be submitted through the online portal.
The washrooms are always clean washrooms and well-maintained.
The teaching clarity provided by the core faculty is unmatched.",2025-06-12,Shiksha,4,0.87,39,5.0,5.0,10.0,5.0,9.0,6.8
R0028,28,"Future Institute of Technology, Boral, Garia","My experience at Future Institute of Technology, Boral, Garia has been mixed, but insightful, reflecting its rank.
The daily menu provides a balanced diet of proteins and vegetables.
The building maintenance team is quick and responsive to issues.
We appreciate the fair grading and consistent high standards.
The washrooms are always clean washrooms and well-maintained.",2024-12-05,Google Reviews,3,0.92,34,5.0,5.0,9.0,5.0,5.0,5.8
R0029,29,"Gargi Memorial Institute of Technology, Baruipur, Kolkata","My experience at Gargi Memorial Institute of Technology, Baruipur, Kolkata has been mixed, but insightful, reflecting its rank.
We received excellent teaching from supportive staff throughout the course.
The college has invested in new buildings, improving overall aesthetics.
The power backup system is bad power backup and fails frequently.
The staff working in the mess is always friendly staff and accommodating.",2025-05-08,Quora,3,0.63,40,5.0,10.0,5.0,5.0,7.0,6.4
R0030,30,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda","My experience at Ghani Khan Choudhury Institute of Engineering & Technology, Malda has been mixed, but insightful, reflecting its rank.
The daily menu provides a balanced diet of proteins and vegetables.
The mock interviews and assessment tests are extremely beneficial.
The lecture hall chairs are uncomfortable and need replacing.
The cooked meals are always cold food by the time they are served.
The cell has tie-ups with 50+ companies annually.",2024-12-26,StudentForum,3,-0.42,42,5.0,5.0,3.0,5.0,5.0,4.6
R0031,31,"Global Institute of Management and Technology, Krishnanagar, Nadia","My experience at Global Institute of Management and Technology, Krishnanagar, Nadia has been mixed, but insightful, reflecting its rank.
Classrooms offer comfortable seating and good ventilation.
Experienced faculty always share relevant industry insights.
The library and academic blocks are quiet zones, perfect for focus.
The menu is highly seasonal menu and changes to keep things interesting.
The ROI is poor ROI given the high tuition fees charged.
The college operates its own internal transport shuttle service.",2024-12-28,Google Reviews,3,0.92,53,5.0,8.0,5.0,1.0,5.0,4.8
