Question ID,Category,Question Text,Difficulty,Option1,Weight1,Option2,Weight2,Option3,Weight3
AI1,AI_Int,"While working on a dataset for predicting outcomes such as housing prices or user behavior, you encounter optimization techniques like cost functions and gradient descent. These concepts seem important for improving model performance but also involve mathematical understanding. In such a situation, how do you naturally respond?",Easy,Focus on using libraries to build the model and achieve good prediction accuracy,0.35,Try to understand how gradient descent minimizes the cost function and why it works mathematically,0.55,Avoid these concepts and move to simpler tasks,0.1
AI2,AI_Int,"During your study of neural networks, you come across terms such as forward propagation, backpropagation, weights, and activation functions. These involve multiple layers of computation and mathematical reasoning. What best describes your approach to learning this?",Easy,Learn how to implement neural networks using high-level frameworks,0.3,Explore how weights are updated using derivatives and the chain rule in detail,0.6,Skip this topic because it appears too complex,0.1
AI3,AI_Int,"When interacting with modern AI-powered systems such as recommendation engines, voice assistants, or chatbots, it is possible to either use them as tools or explore how they function internally. What is your natural tendency in such scenarios?",Easy,Feel motivated to build similar systems using available tools and APIs,0.4,"Become curious about how algorithms, data, and models combine to produce intelligent outputs",0.5,Use these systems without thinking about their internal working,0.1
AI4,AI_Int,"While learning machine learning, you encounter probability concepts such as distributions, likelihood, and uncertainty, which form the foundation of many AI models. These ideas require mathematical reasoning and conceptual clarity. How do you approach this area?",Medium,Apply models without focusing deeply on probability theory,0.35,"Study probability distributions, Bayesian reasoning, and uncertainty in detail",0.5,Avoid probability-related topics due to difficulty,0.15
AI5,AI_Int,"After training a machine learning model, you observe that it performs very well on training data but poorly on unseen test data. This introduces the concept of overfitting and generalization. What is your response to this situation?",Medium,Try different models and tuning techniques to improve performance,0.4,Analyze bias-variance tradeoff and understand why the model fails to generalize,0.45,Ignore the issue and move on to other tasks,0.15
AI6,AI_Int,"When working with real-world datasets, the raw data often contains noise, missing values, and irrelevant features. This requires preprocessing and feature engineering before modeling. How do you engage with this stage?",Medium,Use standard preprocessing techniques and libraries,0.4,Explore deeply how feature representation affects model performance and outcomes,0.45,Use default settings without much thought,0.15
AI7,AI_Int,"As you explore deep learning, you come across architectures such as CNNs, RNNs, and Transformers, each designed for specific types of data like images or sequences. What best describes your approach to these models?",Medium,Focus on applying these architectures to solve problems,0.35,"Understand their internal structure, mathematical formulation, and differences deeply",0.5,Memorize names without deeper exploration,0.15
AI8,AI_Int,"While studying reinforcement learning, you encounter concepts like states, actions, rewards, policies, and value functions. These ideas can feel abstract but are powerful for decision-making systems. How do you respond?",Hard,Try to implement a simple reinforcement learning project or simulation,0.35,"Study Markov Decision Processes, policy optimization, and value functions in depth",0.5,Avoid this topic due to its abstract nature,0.15
AI9,AI_Int,"When reading an AI research paper on topics such as attention mechanisms or transformer models, the content includes mathematical equations, architecture diagrams, and experimental results. What is your typical approach?",Hard,Try to understand the main idea and implement a simplified version,0.4,"Study equations, architecture design, and experimental details thoroughly",0.45,Ignore the paper because it seems too complex,0.15
AI10,AI_Int,"After deploying an AI model, you notice that it produces biased or incorrect outputs in certain cases. This raises concerns about fairness and reliability. How do you approach this issue?",Hard,Try to fix the issue using tuning and experimentation,0.4,"Analyze root causes such as data bias, distribution shift, and underlying assumptions deeply",0.45,Stop working on the model due to difficulty,0.15
C1,Coding_Int,"While solving a basic programming task such as finding the largest element in an array, the problem seems straightforward at first glance. However, there are multiple ways to approach it, some more efficient than others. What best describes your natural approach?",Easy,Write a simple loop to solve the problem quickly,0.4,"Think about time complexity, edge cases, and whether a more optimal solution exists",0.5,Look for or copy a solution without understanding,0.1
C2,Coding_Int,"When learning recursion for the first time, the idea of functions calling themselves and managing multiple states through the call stack can feel confusing. How do you typically handle such a concept?",Easy,Practice recursion using basic examples until it works,0.4,"Understand recursion deeply including stack behavior, base cases, and complexity",0.5,Avoid recursion and rely only on iterative approaches,0.1
C3,Coding_Int,"While debugging a program that produces incorrect output, identifying the exact issue requires careful reasoning about the code flow. What approach do you usually take?",Easy,Print intermediate values to trace the issue,0.35,Analyze the logic step-by-step to identify and understand the root cause,0.55,Make random changes hoping the issue gets fixed,0.1
C4,Coding_Int,"After writing a solution that works correctly, you realize it performs slowly for large inputs. This introduces the need to think about time complexity and optimization. How do you respond?",Medium,Try minor improvements or optimizations,0.35,Analyze time complexity and redesign the algorithm for efficiency,0.5,Ignore performance issues since it works,0.15
C5,Coding_Int,"While solving a problem, choosing the right data structure can significantly affect performance and simplicity. How do you approach selecting data structures?",Medium,Use commonly known structures like arrays or lists,0.35,"Analyze the problem deeply to choose the most suitable structure like hashmap, heap, or tree",0.5,Pick any structure without much thought,0.15
C6,Coding_Int,"When attempting a coding problem and getting stuck, different strategies can be used to proceed. What best describes your behavior in such situations?",Medium,Look at hints or partial solutions and try to understand them,0.4,"Spend time analyzing constraints, patterns, and possible approaches before seeking help",0.45,Skip the problem and move on,0.15
C7,Coding_Int,You have implemented a brute-force solution that works but is not efficient. Improving it may require rethinking the entire approach. What do you typically do?,Medium,Try to slightly optimize the existing solution,0.35,Rethink the entire approach to significantly reduce complexity,0.5,Leave it as it is since it works,0.15
C8,Coding_Int,"While solving advanced problems involving graphs such as shortest paths or cycles, understanding algorithms like BFS, DFS, or Dijkstra becomes important. How do you engage with such problems?",Hard,Use known algorithms with guidance,0.4,Understand graph theory concepts and derive optimal solutions independently,0.45,Avoid such problems due to difficulty,0.15
C9,Coding_Int,"In system design or large-scale coding tasks like designing a URL shortener, multiple components such as databases, APIs, and scalability come into play. What is your approach?",Hard,Focus on implementing basic functionality,0.4,"Think deeply about scalability, data flow, edge cases, and optimization",0.45,Avoid such complex design problems,0.15
C10,Coding_Int,"When working on a difficult coding problem for an extended period without success, persistence and problem-solving strategy become critical. How do you typically respond?",Hard,Take help and continue solving,0.4,"Break the problem into parts, try multiple strategies, and persist until solved",0.45,Quit and move on to easier tasks,0.15
D1,Design_Int,"While working on designing a user interface such as a login or signup page, multiple factors like layout, spacing, usability, and accessibility influence how users interact with the system. In such a situation, what best describes your natural design approach?",Easy,Focus on making the interface visually clean using templates or existing designs,0.4,"Think about user flow, accessibility, and usability principles along with visual design",0.5,Place elements randomly just to complete the task,0.1
D2,Design_Int,"During your learning of UI design, you encounter concepts such as color theory, typography, and visual hierarchy, which affect how users perceive and interact with interfaces. How do you typically engage with these ideas?",Easy,"Use predefined themes, colors, and fonts without much analysis",0.35,"Understand how contrast, typography, and hierarchy influence user perception and readability",0.55,Ignore these concepts as they seem unnecessary,0.1
D3,Design_Int,"While using popular applications, you may notice differences in layout, responsiveness, and interaction patterns. Some designs feel intuitive while others feel confusing. What is your natural reaction to such observations?",Easy,Feel interested in building similar interfaces,0.4,"Analyze why certain designs feel intuitive by observing layout, spacing, and interaction decisions",0.5,Use applications without thinking about design choices,0.1
D4,Design_Int,"When designing a dashboard that needs to display a large amount of information, organizing content becomes critical for usability. How do you approach such a design challenge?",Medium,Place all information neatly on the screen,0.35,"Prioritize information using visual hierarchy, grouping, and user attention flow",0.5,Display all data without structuring it properly,0.15
D5,Design_Int,"After presenting a design, you receive feedback that users find it confusing or difficult to navigate. This requires revisiting your design decisions. What do you typically do?",Medium,Make small visual changes based on feedback,0.4,"Analyze user behavior, identify usability issues, and redesign accordingly",0.45,Ignore feedback and keep the design unchanged,0.15
D6,Design_Int,"While learning UX concepts, you come across ideas like user personas, journey mapping, and interaction flows. These require understanding user psychology and behavior. How do you respond?",Medium,Use these concepts when required in projects,0.35,"Deeply understand user behavior, motivations, and interaction flows",0.5,Skip these concepts as they seem theoretical,0.15
D7,Design_Int,Designing applications for multiple devices such as mobile and desktop requires adapting layouts and interactions. How do you approach responsive design?,Medium,Adjust layout slightly for different screens,0.35,"Understand responsive design principles, breakpoints, and adaptive layouts deeply",0.5,Use the same design for all devices,0.15
D8,Design_Int,"When working with modern design systems and component-based design approaches, consistency and scalability become important. How do you engage with these concepts?",Hard,Use existing components provided by libraries,0.4,"Understand how design systems ensure consistency, scalability, and maintainability",0.45,Avoid learning these concepts due to complexity,0.15
D9,Design_Int,"While analyzing a complex UI case study, multiple decisions related to layout, interaction, and user flow become visible. How do you approach understanding such designs?",Hard,Understand the overall layout and replicate basic ideas,0.4,"Analyze design decisions, user flows, micro-interactions, and reasoning in depth",0.45,Ignore the case study as too complex,0.15
D10,Design_Int,"When redesigning an application that has poor user engagement, improving usability requires careful analysis of user behavior and experience. What is your approach?",Hard,Change colors and visual elements,0.4,"Study user behavior, interaction patterns, and redesign strategically based on insights",0.45,Avoid working on such problems,0.15
